Transportadora,Localidade,Sigla do Ponto,Ponto Zona (sigla),Fluxo,Município,UF,Vazão Mensurável Mínima (Mm³/d),Vazão Mensurável Máxima (Mm³/d),Pressão de Recebimento Mínima (Kgf/cm2),Pressão de Recebimento Máxima (Kgf/cm2),Capacidade Técnica do Ponto (Mil m³/dia),Capacidade Comercial da Zona (Mil m³/dia),Capacidade Disponível da Zona (Mil m³/dia),Capacidade Contratada da Zona (Mil m³/dia),Tarifa Referência (R$/MMBtu)
NTS,PTE UTE JUIZ DE FORA (IGREJINHA),JFIG,MG1,Saída,Juiz de Fora,RJ,60.0,600.0,31.5,38.0,600.0,683.0,223.33,459.67,3.5503
NTS,PTE UTE MÁRIO LAGO,MAR,RJ1,Saída,Macaé,RJ,525.0,5250.0,60.0,75.0,5250.0,10018.0,2195.45,7822.55,2.8166
NTS,PTE UTE NORTE FLUMINENSE,NOR,RJ1,Saída,Macaé,RJ,370.0,3750.0,43.0,50.0,3750.0,10018.0,2195.45,7822.55,2.8166
NTS,REVAP II,REVAPII,SP2,Saída,São José dos Campos,SP,400.0,3800.0,30.0,65.0,3800.0,3289.0,357.03,2931.97,3.3356
NTS,Suzano,SUZ,SP3,Saída,Suzano,SP,700.0,3500.0,15.8,18.4,3500.0,8637.0,2422.93,6214.07,3.3356
NTS,São Bernardo do Campo,SBC,SP3,Saída,São Bernardo do Campo,SP,230.0,2300.0,15.8,18.4,2300.0,8637.0,2422.93,6214.07,3.3356
NTS,São Bernardo do Campo II,SBCII,SP3,Saída,São Bernardo do Campo II,SP,500.0,3000.0,15.8,18.4,3000.0,8637.0,2422.93,6214.07,3.3356
NTS,São José dos Campos,SJC,SP2,Saída,São José dos Campos,SP,170.0,800.0,15.8,18.4,800.0,3289.0,357.03,2931.97,3.3356
NTS,TAUBATÉ,TAUB,SP2,Saída,TAUBATÉ,SP,40.0,140.0,15.8,18.4,140.0,3289.0,357.03,2931.97,3.3356
TAG,Atalaia I,Atalaia I,ATL,Entrada,Aracaju,SE,150.0,4600.0,22.0,100.0,4600.0,4600.0,4600.0,0.0,0.0
TAG,Atalaia II,Atalaia II,ATL,Entrada,Aracaju,SE,150.0,4600.0,22.0,100.0,4600.0,4600.0,4600.0,0.0,0.0
TAG,Cacimbas - ETC Cacimbas (UTGC),CACIMBAS,CAC,Entrada,Linhares,ES,500.0,20000.0,50.0,100.0,20000.0,19732.0,14320.0,5412.0,4.981729
TAG,EVF Manati,EVF Manati,MAN,Entrada,São Francisco do Conde,BA,1000.0,6000.0,34.0,38.0,6000.0,2464.0,650.0,1814.0,4.89635
TAG,GNL Passé,GNL SSP,SSP,Entrada,São Sebastião do Passé,BA,1400.0,14000.0,50.0,100.0,14000.0,10300.0,0.0,10300.0,4.872892
TAG,GNL Pecém,GNL Pecém,PEC,Entrada,Caucaia,CE,1000.0,7000.0,58.0,100.0,7000.0,3922.0,3922.0,0.0,5.422148
TAG,GNL TRBA,GNL TRBA,TRB,Entrada,São Francisco do Conde,BA,1000.0,6000.0,52.5,100.0,6000.0,5999.99,2999.99,3000.0,4.893771
TAG,Guamaré I,Guamaré I,GUA,Entrada,Guamaré,RN,100.0,7000.0,45.0,100.0,4000.0,6314.0,5896.0,418.0,5.229942
TAG,Marechal Deodoro,MD,MD,Entrada,Pilar,AL,300.0,2600.0,65.5,100.0,2600.0,1719.0,769.0,950.0,4.964435
TAG,Pojuca II,Pojuca II,POJ,Entrada,Pojuca,BA,320.0,3000.0,26.0,33.0,3000.0,1335.0,198.0,1137.0,4.870595
TAG,UPGN Candeias (SFC1),UPGN Cand,CAND,Entrada,São Francisco do Conde,BA,300.0,3000.0,23.0,37.0,3000.0,3000.0,3000.0,0.0,0.0
TAG,URUCU,URUCU,URUCU,Entrada,Coari,AM,3000.0,20000.0,50.0,100.0,7685.0,0.0,0.0,0.0,
TAG,UTGSUL,UTGSUL,UTG,Entrada,Anchieta,ES,200.0,2000.0,50.0,100.0,2000.0,963.0,963.0,0.0,5.02464
